Designator,Mid X,Mid Y,Rotation,Layer
C1,162.7595,-74.86279,0.0,top
C2,160.782,-102.346,90.0,top
C3,169.164,-97.536,180.0,top
C4,169.1366,-101.6,180.0,top
J1,173.99,-74.93,0.0,top
U1,167.496981,-85.027,90.0,top
U2,179.324,-108.712,0.0,top
